Child DCN,Child MOSIS ID,RefProgramType.Description,EnrollmentDate,ServicePlanDate,ServicePlanEndDate,VisitingIndicator,NumberOfDaysInAttendance,RefStudentGradeLevel.Description,RefFundingSource.Descriptions
0000002569,002569,First Steps,2021-02-16,2021-03-17,2021-09-04,No,8,Early Intervention,Local
0000002569,002569,Home Visiting,2021-04-16,2021-05-01,2022-01-16,Yes,4,,Private
0000002569,002569,First Steps,2022-02-07,2022-02-24,2022-12-17,No,5,Early Intervention,Local
0000002570,002570,First Steps,2019-07-18,2019-07-28,2021-07-01,No,19,Early Intervention,Private
0000002570,002570,First Steps,2021-08-02,2021-08-15,2023-04-11,No,24,Early Intervention,Private
0000002571,002571,Early Head Start,2021-06-05,2021-06-28,2022-09-28,No,115,,Local
0000002571,002571,First Steps,2022-10-05,2022-11-02,2025-04-30,No,30,Early Intervention,State
0000002572,002572,Childcare Subsidy,2022-03-08,2022-04-02,2024-01-25,No,165,,State
0000002572,002572,First Steps,2024-02-03,2024-02-24,2024-08-29,No,54,Early Intervention,State
0000002573,002573,Home Visiting,2020-03-13,2020-04-07,2020-10-14,Yes,5,,Federal
0000002574,002574,Early Intervention,2022-08-05,2022-08-20,2024-08-19,No,13,Early Intervention,Local
0000002574,002574,Head Start,2024-10-26,2024-11-05,2025-12-02,No,145,Pre-K,Federal
0000002575,002575,Child Care,2021-10-29,2021-11-04,2024-10-20,No,58,,Local
0000002575,002575,Early Intervention,2021-02-01,2021-02-21,2022-07-22,No,42,Early Intervention,Federal
0000002575,002575,Child Care,2022-09-02,2022-09-05,2025-05-31,No,144,,Federal
0000002576,002576,Home Visiting,2020-06-15,2020-07-15,2021-12-21,Yes,17,,Local
0000002576,002576,Early Intervention,2020-08-14,2020-08-29,2023-01-08,No,40,Early Intervention,Local
0000002577,002577,Early Head Start,2021-11-24,2021-11-25,2023-02-09,No,140,,Private
0000002577,002577,Early Intervention,2023-02-25,2023-03-18,2025-01-15,No,20,Early Intervention,State
0000002577,002577,Childcare Subsidy,2025-01-28,2025-02-04,2025-09-06,No,98,,Private
0000002578,002578,Early Head Start,2019-07-18,2019-08-07,2020-04-07,No,170,,Federal
0000002579,002579,Childcare Subsidy,2021-02-24,2021-03-15,2023-01-11,No,95,,State
0000002579,002579,First Steps,2023-04-14,2023-04-15,2024-04-24,No,28,Early Intervention,Federal
0000002579,002579,State Pre-K,2024-07-27,2024-07-28,2025-12-01,No,79,Pre-K,State
0000002579,002579,Home Visiting,2021-10-01,2021-10-06,2023-11-16,Yes,16,,Private
0000002579,002579,Head Start,2024-01-22,2024-02-12,2026-01-07,No,96,Pre-K,Local
0000002580,002580,Early Intervention,2020-01-23,2020-01-26,2021-02-23,No,43,Early Intervention,State
0000002581,002581,Child Care,2022-01-23,2022-01-30,2023-03-09,No,126,,Local
0000002581,002581,Childcare Subsidy,2023-03-11,2023-03-15,2025-12-05,No,148,,Local
0000002582,002582,Childcare Subsidy,2021-06-05,2021-07-03,2024-02-17,No,141,,Local
0000002582,002582,Childcare Subsidy,2024-03-06,2024-03-11,2026-07-14,No,199,,Private
0000002583,002583,Childcare Subsidy,2020-04-14,2020-04-17,2021-11-14,No,170,,Federal
0000002583,002583,First Steps,2021-12-01,2021-12-26,2023-12-08,No,12,Early Intervention,Local
0000002584,002584,Early Head Start,2019-11-24,2019-12-09,2020-04-01,No,75,,Local
0000002584,002584,Early Head Start,2020-04-15,2020-05-11,2020-12-17,No,128,,Federal
0000002585,002585,Childcare Subsidy,2023-09-23,2023-10-20,2024-04-09,No,139,,Local
0000002586,002586,Early Intervention,2021-11-09,2021-11-30,2022-10-16,No,12,Early Intervention,Federal
0000002586,002586,First Steps,2023-03-03,2023-03-07,2023-06-22,No,32,Early Intervention,State
0000002586,002586,Childcare Subsidy,2023-10-28,2023-11-08,2024-03-07,No,89,,State
0000002587,002587,First Steps,2020-02-15,2020-02-29,2020-09-05,No,46,Early Intervention,Local
0000002588,002588,Child Care,2021-11-27,2021-12-04,2022-10-16,No,89,,Private
0000002589,002589,Childcare Subsidy,2021-11-30,2021-12-08,2024-08-16,No,78,,Local
0000002589,002589,Head Start,2024-09-08,2024-09-24,2025-06-05,No,110,Pre-K,Local
0000002590,002590,Early Intervention,2021-05-15,2021-06-13,2022-05-25,No,19,Early Intervention,Local
0000002590,002590,First Steps,2022-09-12,2022-10-01,2023-08-11,No,32,Early Intervention,Private
0000002590,002590,Head Start,2023-11-05,2023-11-06,2024-12-06,No,115,Pre-K,Local
0000002591,002591,Child Care,2021-02-12,2021-03-12,2024-02-07,No,173,,Federal
0000002591,002591,Head Start,2024-03-06,2024-03-23,2025-02-03,No,123,Pre-K,State
0000002592,002592,Early Intervention,2022-08-06,2022-08-08,2024-01-23,No,23,Early Intervention,Federal
0000002593,002593,Home Visiting,2020-03-23,2020-03-25,2021-02-12,Yes,20,,Private
0000002593,002593,Childcare Subsidy,2021-03-05,2021-03-22,2022-06-12,No,153,,Private
0000002594,002594,Early Head Start,2019-02-09,2019-02-10,2019-07-06,No,124,,Private
0000002594,002594,Early Head Start,2019-07-18,2019-07-24,2019-11-25,No,82,,Private
0000002594,002594,Early Intervention,2019-12-10,2019-12-15,2020-10-17,No,30,Early Intervention,Private
0000002595,002595,Home Visiting,2020-09-01,2020-09-07,2023-01-01,Yes,11,,Federal
0000002595,002595,Head Start,2023-01-12,2023-02-09,2024-11-12,No,102,Pre-K,State
0000002596,002596,Early Intervention,2021-10-09,2021-10-30,2022-10-02,No,33,Early Intervention,Private
0000002596,002596,Childcare Subsidy,2021-11-29,2021-12-14,2023-02-21,No,129,,State
0000002597,002597,Early Head Start,2018-10-05,2018-10-15,2020-02-07,No,53,,Private
0000002597,002597,First Steps,2020-02-11,2020-02-20,2021-10-20,No,11,Early Intervention,State
0000002597,002597,Head Start,2021-10-23,2021-11-21,2023-10-23,No,87,Pre-K,Local
0000002598,002598,Child Care,2021-11-23,2021-12-19,2023-04-16,No,128,,State
0000002599,002599,Child Care,2023-05-16,2023-05-29,2025-09-04,No,70,,Local
0000002599,002599,Childcare Subsidy,2025-09-06,2025-09-12,2026-12-19,No,72,,Local
0000002600,002600,Early Head Start,2021-11-23,2021-12-16,2022-05-22,No,54,,Local
0000002600,002600,Child Care,2022-08-27,2022-09-16,2023-05-10,No,123,,Federal
0000002600,002600,Early Head Start,2023-07-24,2023-08-08,2023-12-04,No,42,,Private
0000002601,002601,Childcare Subsidy,2022-04-22,2022-04-25,2023-11-10,No,172,,State
0000002602,002602,Childcare Subsidy,2019-07-16,2019-08-05,2021-09-26,No,102,,Local
0000002602,002602,Childcare Subsidy,2021-10-13,2021-10-26,2024-01-18,No,83,,Local
0000002602,002602,First Steps,2019-07-21,2019-08-04,2022-01-02,No,23,Early Intervention,State
0000002603,002603,Child Care,2020-09-12,2020-09-13,2022-07-25,No,42,,Private
0000002603,002603,Childcare Subsidy,2022-09-21,2022-10-19,2024-02-25,No,169,,State
0000002603,002603,State Pre-K,2024-04-30,2024-05-17,2025-02-08,No,79,Pre-K,Local
0000002603,002603,State Pre-K,2025-05-01,2025-05-27,2025-11-25,No,79,Pre-K,Private
0000002603,002603,Home Visiting,2021-05-28,2021-06-13,2022-12-17,Yes,5,,Local
0000002604,002604,Childcare Subsidy,2023-02-21,2023-02-24,2024-01-11,No,81,,Local
0000002605,002605,Early Intervention,2020-10-08,2020-10-23,2022-04-15,No,51,Early Intervention,State
0000002606,002606,Child Care,2020-10-23,2020-11-19,2023-11-08,No,63,,Local
0000002607,002607,Early Head Start,2018-12-16,2018-12-22,2021-10-20,No,111,,Federal
0000002607,002607,Childcare Subsidy,2021-11-20,2021-11-28,2023-05-16,No,200,,State
0000002608,002608,First Steps,2020-09-18,2020-10-10,2021-05-10,No,38,Early Intervention,Local
0000002608,002608,Early Head Start,2021-05-13,2021-06-04,2022-05-15,No,46,,Local
0000002609,002609,First Steps,2022-06-02,2022-06-09,2023-04-13,No,15,Early Intervention,State
0000002610,002610,Early Intervention,2023-03-09,2023-04-07,2025-01-25,No,24,Early Intervention,State
0000002611,002611,Child Care,2019-09-02,2019-09-04,2020-08-29,No,107,,Federal
0000002612,002612,Childcare Subsidy,2023-03-10,2023-03-18,2025-08-27,No,109,,State
0000002612,002612,State Pre-K,2023-04-17,2023-05-02,2027-04-07,No,123,Pre-K,Private
0000002613,002613,Child Care,2020-01-15,2020-02-01,2021-02-07,No,108,,Local
0000002613,002613,Child Care,2021-04-09,2021-04-29,2022-09-08,No,40,,Local
0000002614,002614,First Steps,2021-11-06,2021-11-28,2023-09-30,No,48,Early Intervention,Local
0000002615,002615,Home Visiting,2022-03-12,2022-04-01,2023-05-01,Yes,12,,Private
0000002615,002615,Early Head Start,2023-07-02,2023-07-18,2024-08-15,No,84,,State
0000002616,002616,Home Visiting,2022-06-14,2022-07-08,2023-01-29,Yes,11,,Local
0000002617,002617,Early Intervention,2020-12-11,2020-12-14,2022-01-28,No,29,Early Intervention,State
0000002617,002617,First Steps,2022-02-02,2022-02-16,2024-02-16,No,19,Early Intervention,State
0000002618,002618,Home Visiting,2019-03-20,2019-04-09,2020-12-26,Yes,26,,Private
0000002619,002619,First Steps,2022-10-12,2022-10-26,2023-06-07,No,31,Early Intervention,Local
0000002619,002619,Early Head Start,2023-06-08,2023-06-27,2023-12-17,No,67,,Federal
0000002619,002619,Child Care,2024-01-12,2024-01-24,2024-12-25,No,163,,Private
0000002619,002619,Childcare Subsidy,2025-01-10,2025-01-23,2025-05-23,No,99,,Private
0000002619,002619,Child Care,2025-06-19,2025-07-08,2026-06-23,No,71,,Private
0000002620,002620,First Steps,2022-01-22,2022-02-11,2023-12-20,No,32,Early Intervention,Federal
0000002620,002620,Child Care,2024-01-26,2024-01-27,2024-09-12,No,87,,State
0000002620,002620,Head Start,2024-12-01,2024-12-09,2026-04-23,No,57,Pre-K,Federal
0000002621,002621,Childcare Subsidy,2021-03-19,2021-04-12,2022-12-30,No,58,,Local
0000002622,002622,First Steps,2022-02-18,2022-03-17,2023-11-15,No,10,Early Intervention,State
0000002622,002622,Early Intervention,2024-01-23,2024-02-17,2024-09-15,No,29,Early Intervention,Local
0000002623,002623,Child Care,2021-10-01,2021-10-26,2024-01-10,No,66,,State
0000002624,002624,Child Care,2023-02-18,2023-03-14,2025-11-05,No,96,,State
0000002624,002624,Childcare Subsidy,2025-11-19,2025-11-28,2027-06-17,No,190,,State
0000002625,002625,Childcare Subsidy,2023-11-08,2023-11-24,2025-11-16,No,194,,Local
0000002626,002626,Child Care,2018-12-27,2019-01-19,2020-04-24,No,88,,State
0000002626,002626,Early Head Start,2020-05-02,2020-05-09,2021-06-01,No,162,,Local
0000002627,002627,Child Care,2022-05-10,2022-05-17,2024-09-07,No,193,,Federal
0000002627,002627,Head Start,2024-11-22,2024-12-05,2026-09-21,No,168,Pre-K,State
0000002628,002628,Child Care,2021-04-25,2021-05-01,2022-03-15,No,101,,State
0000002629,002629,Child Care,2023-01-20,2023-02-15,2023-12-22,No,72,,Local
0000002629,002629,Child Care,2024-01-01,2024-01-27,2024-10-08,No,64,,Private
0000002630,002630,Childcare Subsidy,2023-02-04,2023-02-23,2024-09-04,No,106,,Private
0000002630,002630,State Pre-K,2024-10-14,2024-10-26,2025-09-30,No,110,Pre-K,Local
0000002630,002630,Childcare Subsidy,2025-11-23,2025-11-25,2026-09-18,No,154,,Federal
0000002631,002631,Early Intervention,2022-01-23,2022-01-28,2023-12-13,No,23,Early Intervention,Local
0000002632,002632,First Steps,2022-08-29,2022-08-31,2023-09-18,No,37,Early Intervention,Local
0000002632,002632,Early Head Start,2023-10-14,2023-10-29,2024-12-10,No,65,,Local
0000002633,002633,Home Visiting,2021-12-20,2022-01-17,2023-08-13,Yes,19,,State
0000002634,002634,Early Head Start,2020-02-20,2020-03-19,2020-10-18,No,40,,Federal
0000002635,002635,Early Head Start,2022-08-28,2022-09-15,2025-01-26,No,146,,Federal
0000002635,002635,State Pre-K,2025-02-23,2025-02-25,2026-08-11,No,97,Pre-K,Private
0000002635,002635,First Steps,2022-07-18,2022-08-10,2024-09-17,No,41,Early Intervention,Federal
0000002636,002636,First Steps,2021-02-23,2021-03-23,2021-12-13,No,27,Early Intervention,Private
0000002637,002637,Early Head Start,2019-09-13,2019-10-02,2020-07-09,No,161,,State
0000002637,002637,Early Intervention,2020-07-26,2020-08-12,2020-10-23,No,22,Early Intervention,Local
0000002637,002637,Early Intervention,2020-11-14,2020-11-30,2021-06-15,No,10,Early Intervention,Federal
0000002638,002638,First Steps,2019-08-10,2019-08-20,2021-01-27,No,52,Early Intervention,Private
0000002639,002639,Childcare Subsidy,2022-07-21,2022-08-16,2024-07-02,No,145,,State
0000002639,002639,Child Care,2024-07-29,2024-08-10,2025-05-04,No,105,,State
0000002639,002639,Head Start,2025-05-21,2025-05-30,2026-09-25,No,63,Pre-K,Private
0000002640,002640,Home Visiting,2021-03-21,2021-03-29,2022-05-24,Yes,9,,Private
0000002640,002640,Home Visiting,2021-04-28,2021-05-13,2023-01-29,Yes,17,,Private
0000002641,002641,Childcare Subsidy,2020-07-31,2020-08-04,2022-01-31,No,129,,State
0000002642,002642,Child Care,2022-10-02,2022-10-10,2024-03-23,No,85,,Private
0000002642,002642,Early Intervention,2024-03-30,2024-04-18,2026-11-20,No,40,Early Intervention,State
0000002642,002642,Child Care,2022-10-17,2022-10-24,2024-06-06,No,145,,Private
0000002643,002643,Childcare Subsidy,2019-08-12,2019-09-10,2021-01-15,No,114,,Federal
0000002644,002644,Home Visiting,2021-01-17,2021-02-14,2023-03-23,Yes,14,,Private
0000002644,002644,Early Head Start,2023-04-13,2023-04-21,2025-01-11,No,158,,Local
0000002645,002645,Early Intervention,2020-08-25,2020-09-19,2022-05-04,No,45,Early Intervention,Local
0000002645,002645,Home Visiting,2022-08-04,2022-08-23,2024-02-18,Yes,9,,Private
0000002645,002645,Head Start,2024-05-21,2024-06-18,2025-03-05,No,104,Pre-K,Federal
0000002646,002646,Early Head Start,2018-07-16,2018-08-07,2020-03-19,No,64,,Local
0000002646,002646,Child Care,2020-04-02,2020-04-13,2021-06-17,No,56,,Local
0000002647,002647,Childcare Subsidy,2022-09-04,2022-09-23,2025-03-30,No,113,,Federal
0000002648,002648,Home Visiting,2021-06-21,2021-07-13,2022-04-06,Yes,21,,Federal
0000002648,002648,Early Head Start,2022-09-20,2022-09-23,2023-02-14,No,35,,Federal
0000002649,002649,Early Head Start,2023-06-19,2023-07-07,2024-11-06,No,149,,Private
0000002649,002649,Child Care,2025-02-26,2025-03-15,2027-02-19,No,183,,Local
0000002649,002649,First Steps,2022-08-22,2022-09-12,2025-09-04,No,29,Early Intervention,Local
0000002650,002650,Child Care,2020-03-15,2020-04-14,2022-12-04,No,77,,Private
0000002651,002651,Early Intervention,2020-05-03,2020-05-13,2021-09-24,No,16,Early Intervention,State
0000002651,002651,Early Head Start,2021-11-28,2021-12-01,2024-07-27,No,155,,Private
0000002651,002651,Early Intervention,2020-03-14,2020-04-02,2021-09-30,No,33,Early Intervention,Private
0000002652,002652,Early Head Start,2019-06-03,2019-06-30,2021-02-20,No,138,,Private
0000002652,002652,Home Visiting,2021-03-05,2021-03-31,2022-06-02,Yes,8,,Local
0000002653,002653,Early Intervention,2022-04-08,2022-04-12,2024-03-15,No,41,Early Intervention,State
0000002653,002653,Childcare Subsidy,2022-05-12,2022-05-27,2025-12-12,No,67,,Private
0000002654,002654,Childcare Subsidy,2020-07-04,2020-07-22,2021-05-25,No,40,,State
0000002654,002654,Child Care,2021-05-28,2021-06-27,2023-05-02,No,155,,Private
0000002655,002655,Home Visiting,2023-01-18,2023-02-12,2023-08-09,Yes,12,,Local
0000002655,002655,Childcare Subsidy,2023-11-23,2023-12-05,2024-11-24,No,60,,State
0000002656,002656,Child Care,2019-05-14,2019-05-21,2021-02-05,No,126,,Local
0000002656,002656,Child Care,2021-02-10,2021-02-26,2021-09-20,No,119,,Private
0000002656,002656,Head Start,2021-09-24,2021-09-28,2022-07-02,No,91,Pre-K,Federal
0000002656,002656,Childcare Subsidy,2022-07-23,2022-08-04,2023-09-28,No,46,,Federal
0000002657,002657,Early Head Start,2019-12-08,2019-12-20,2020-06-23,No,113,,State
0000002657,002657,First Steps,2020-10-02,2020-10-15,2021-02-20,No,10,Early Intervention,Private
0000002658,002658,Home Visiting,2020-11-25,2020-11-27,2023-09-28,Yes,22,,Federal
0000002658,002658,State Pre-K,2023-10-21,2023-10-31,2024-11-29,No,131,Pre-K,Private
0000002659,002659,Early Head Start,2019-10-12,2019-10-19,2020-05-13,No,147,,Private
0000002659,002659,First Steps,2020-05-30,2020-06-27,2022-06-19,No,34,Early Intervention,Federal
0000002660,002660,Child Care,2019-02-27,2019-03-25,2019-11-05,No,129,,Private
0000002660,002660,Early Intervention,2019-11-09,2019-11-15,2020-07-28,No,24,Early Intervention,Local
0000002661,002661,Home Visiting,2020-04-12,2020-05-12,2022-07-13,Yes,10,,State
0000002661,002661,Early Head Start,2022-08-12,2022-08-16,2025-02-24,No,188,,State
0000002661,002661,Home Visiting,2020-09-01,2020-09-07,2023-02-25,Yes,10,,State
0000002662,002662,Child Care,2022-09-19,2022-10-14,2024-08-13,No,63,,Federal
0000002662,002662,Childcare Subsidy,2022-11-13,2022-11-28,2026-03-19,No,92,,Local
0000002662,002662,Childcare Subsidy,2026-03-20,2026-04-01,2026-09-18,No,166,,Local
0000002662,002662,Home Visiting,2022-03-21,2022-03-28,2023-03-16,Yes,20,,Private
0000002663,002663,Home Visiting,2021-09-27,2021-10-13,2024-03-22,Yes,28,,Private
0000002663,002663,Child Care,2024-03-28,2024-04-08,2026-02-23,No,107,,Private
0000002664,002664,First Steps,2019-11-05,2019-11-24,2021-06-29,No,18,Early Intervention,State
0000002664,002664,Child Care,2021-07-07,2021-07-26,2023-01-18,No,65,,Private
0000002664,002664,Head Start,2023-01-25,2023-02-05,2024-03-01,No,69,Pre-K,Federal
0000002665,002665,Early Head Start,2020-03-09,2020-03-24,2022-01-10,No,85,,State
0000002666,002666,Childcare Subsidy,2019-01-13,2019-01-24,2021-01-11,No,135,,Federal
0000002666,002666,First Steps,2021-02-10,2021-02-14,2022-05-01,No,10,Early Intervention,State
0000002667,002667,Child Care,2019-11-23,2019-12-04,2021-05-31,No,95,,Federal
0000002668,002668,Childcare Subsidy,2019-02-02,2019-02-18,2019-12-30,No,111,,State
0000002669,002669,Home Visiting,2019-01-08,2019-01-18,2019-06-07,Yes,12,,Federal
0000002669,002669,Child Care,2019-06-24,2019-06-26,2019-11-11,No,144,,Private
0000002670,002670,Home Visiting,2021-01-01,2021-01-21,2022-03-18,Yes,9,,Local
0000002670,002670,Head Start,2022-07-13,2022-08-04,2023-09-06,No,122,Pre-K,Federal
0000002671,002671,Home Visiting,2021-07-28,2021-08-04,2023-04-01,Yes,14,,Local
0000002672,002672,First Steps,2022-11-28,2022-12-19,2025-11-08,No,37,Early Intervention,Private
0000002673,002673,First Steps,2022-01-26,2022-02-24,2024-02-21,No,19,Early Intervention,State
0000002673,002673,Child Care,2024-03-08,2024-04-01,2025-08-24,No,125,,Private
0000002673,002673,Child Care,2021-05-21,2021-06-01,2022-04-16,No,160,,State
0000002674,002674,Early Intervention,2021-12-24,2021-12-31,2023-06-06,No,47,Early Intervention,Private
0000002675,002675,Early Intervention,2023-03-16,2023-03-17,2023-11-10,No,13,Early Intervention,Federal
0000002676,002676,Home Visiting,2023-01-25,2023-01-30,2024-09-06,Yes,18,,Private
0000002676,002676,Child Care,2024-11-06,2024-12-06,2026-02-21,No,47,,Federal
0000002676,002676,Head Start,2026-03-23,2026-04-10,2027-05-17,No,117,Pre-K,State
0000002677,002677,Early Intervention,2022-06-12,2022-06-21,2024-03-08,No,51,Early Intervention,Local
0000002678,002678,Child Care,2020-03-16,2020-04-04,2021-04-18,No,199,,Federal
0000002679,002679,Childcare Subsidy,2022-09-21,2022-10-09,2024-02-21,No,67,,Local
0000002679,002679,Child Care,2024-04-08,2024-04-13,2025-03-23,No,51,,Private
0000002679,002679,Child Care,2025-05-12,2025-05-26,2026-11-26,No,87,,State
0000002679,002679,First Steps,2022-11-09,2022-12-02,2024-08-18,No,30,Early Intervention,Local
0000002679,002679,Early Head Start,2024-10-29,2024-10-31,2026-08-31,No,142,,Federal
0000002680,002680,Early Head Start,2020-05-09,2020-06-07,2021-10-28,No,126,,Federal
0000002681,002681,First Steps,2022-11-26,2022-12-18,2024-10-25,No,13,Early Intervention,Private
0000002681,002681,Child Care,2023-01-17,2023-02-01,2025-06-14,No,181,,Local
0000002682,002682,Home Visiting,2022-06-03,2022-06-21,2023-01-11,Yes,20,,Federal
0000002682,002682,Childcare Subsidy,2022-07-21,2022-08-05,2023-07-02,No,81,,Private
0000002683,002683,Early Head Start,2022-07-03,2022-07-25,2022-10-06,No,104,,Local
0000002683,002683,Early Intervention,2022-11-02,2022-11-05,2023-09-03,No,25,Early Intervention,State
0000002683,002683,First Steps,2023-09-10,2023-10-08,2024-06-18,No,37,Early Intervention,Private
0000002683,002683,Childcare Subsidy,2024-07-06,2024-07-22,2025-01-14,No,63,,State
0000002684,002684,Home Visiting,2020-02-09,2020-02-18,2023-01-02,Yes,28,,Local
0000002685,002685,Early Head Start,2019-02-28,2019-03-20,2020-07-18,No,78,,Private
0000002686,002686,Child Care,2022-01-14,2022-01-23,2023-06-24,No,55,,Federal
0000002687,002687,Early Intervention,2021-07-29,2021-08-18,2024-08-08,No,41,Early Intervention,State
0000002687,002687,State Pre-K,2024-10-23,2024-11-02,2025-06-13,No,123,Pre-K,Private
0000002688,002688,Home Visiting,2022-01-14,2022-01-20,2023-05-02,Yes,23,,State
0000002689,002689,Childcare Subsidy,2021-03-05,2021-03-15,2022-08-25,No,152,,Private
0000002689,002689,First Steps,2022-11-26,2022-12-01,2023-06-13,No,22,Early Intervention,State
0000002690,002690,Childcare Subsidy,2020-05-22,2020-06-08,2021-05-30,No,125,,Federal
0000002691,002691,Early Head Start,2022-06-29,2022-07-22,2023-10-22,No,147,,Private
0000002692,002692,Early Intervention,2019-10-01,2019-10-03,2022-06-17,No,35,Early Intervention,Local
0000002692,002692,Child Care,2022-06-30,2022-07-07,2023-07-25,No,77,,State
0000002693,002693,Early Intervention,2019-12-11,2020-01-10,2022-02-07,No,20,Early Intervention,Local
0000002694,002694,Childcare Subsidy,2020-07-29,2020-08-03,2021-01-20,No,41,,Federal
0000002694,002694,Early Head Start,2021-06-01,2021-06-09,2022-04-25,No,142,,Local
0000002694,002694,Childcare Subsidy,2022-09-08,2022-09-30,2023-03-02,No,27,,Federal
0000002695,002695,Child Care,2022-11-28,2022-12-14,2025-05-12,No,197,,Private
0000002695,002695,State Pre-K,2025-05-14,2025-05-21,2026-07-23,No,93,Pre-K,Local
0000002695,002695,State Pre-K,2026-08-13,2026-08-18,2027-06-16,No,121,Pre-K,Private
0000002696,002696,Early Intervention,2019-07-31,2019-08-19,2020-04-03,No,22,Early Intervention,Federal
0000002696,002696,Early Intervention,2020-04-11,2020-04-14,2021-01-26,No,22,Early Intervention,State
0000002696,002696,Child Care,2021-02-09,2021-03-06,2021-09-10,No,104,,Federal
0000002697,002697,Home Visiting,2020-06-19,2020-07-18,2022-11-22,Yes,8,,Local
0000002698,002698,Childcare Subsidy,2019-11-10,2019-11-23,2020-08-01,No,86,,Private
0000002699,002699,First Steps,2020-02-14,2020-03-12,2020-08-21,No,21,Early Intervention,Private
0000002699,002699,Child Care,2020-11-01,2020-11-29,2021-11-26,No,161,,Private
0000002699,002699,Childcare Subsidy,2022-04-18,2022-05-02,2023-01-25,No,65,,State
0000002700,002700,First Steps,2022-02-25,2022-03-17,2024-12-05,No,12,Early Intervention,Federal
0000002700,002700,Child Care,2024-12-16,2024-12-21,2026-08-16,No,129,,Federal
0000002701,002701,First Steps,2021-05-11,2021-05-31,2022-09-12,No,11,Early Intervention,Local
0000002702,002702,First Steps,2023-09-04,2023-09-15,2024-08-04,No,24,Early Intervention,State
0000002702,002702,First Steps,2024-08-20,2024-09-02,2025-04-20,No,32,Early Intervention,Local
0000002703,002703,Early Head Start,2019-07-02,2019-07-25,2021-08-26,No,61,,Federal
0000002703,002703,Head Start,2021-09-20,2021-09-29,2023-06-08,No,149,Pre-K,Private
0000002704,002704,Childcare Subsidy,2022-11-12,2022-11-19,2025-06-03,No,134,,Federal
0000002705,002705,Childcare Subsidy,2022-12-26,2023-01-23,2023-05-05,No,80,,State
0000002706,002706,Child Care,2019-08-30,2019-09-03,2022-02-13,No,127,,Local
0000002706,002706,Early Intervention,2022-03-10,2022-03-14,2024-10-15,No,27,Early Intervention,State
0000002707,002707,Child Care,2020-10-24,2020-10-28,2021-07-12,No,106,,Private
0000002707,002707,Child Care,2021-08-07,2021-08-18,2021-10-21,No,52,,Federal
0000002708,002708,Home Visiting,2020-07-16,2020-08-13,2023-04-06,Yes,7,,Private
0000002708,002708,Head Start,2023-04-29,2023-05-29,2024-03-27,No,91,Pre-K,Private
0000002709,002709,Early Intervention,2021-10-07,2021-10-27,2023-12-11,No,44,Early Intervention,Federal
0000002710,002710,Home Visiting,2018-07-19,2018-07-26,2018-11-10,Yes,6,,State
0000002711,002711,Childcare Subsidy,2022-01-23,2022-01-31,2023-05-26,No,166,,State
0000002712,002712,First Steps,2018-11-01,2018-11-04,2021-10-20,No,33,Early Intervention,Local
0000002713,002713,Childcare Subsidy,2022-07-17,2022-07-31,2024-06-22,No,84,,Local
0000002713,002713,Child Care,2024-07-21,2024-08-17,2026-05-03,No,129,,Local
0000002713,002713,Early Intervention,2021-11-03,2021-11-26,2023-08-08,No,28,Early Intervention,State
0000002714,002714,Early Head Start,2020-08-12,2020-08-24,2023-07-09,No,114,,Private
0000002715,002715,Early Intervention,2020-08-06,2020-08-29,2021-08-20,No,34,Early Intervention,State
0000002715,002715,Early Head Start,2021-10-01,2021-10-04,2023-09-21,No,135,,Federal
0000002715,002715,Childcare Subsidy,2024-01-09,2024-01-27,2025-02-03,No,73,,Federal
0000002716,002716,First Steps,2022-04-11,2022-04-29,2022-12-12,No,9,Early Intervention,Federal
0000002717,002717,First Steps,2018-12-21,2019-01-16,2019-09-24,No,13,Early Intervention,State
0000002717,002717,Childcare Subsidy,2019-09-30,2019-10-29,2021-03-09,No,106,,Private
0000002717,002717,Child Care,2021-03-25,2021-04-08,2022-05-30,No,176,,State
0000002718,002718,Child Care,2021-12-13,2022-01-11,2024-05-05,No,153,,Private
0000002718,002718,State Pre-K,2024-05-30,2024-06-01,2026-02-26,No,113,Pre-K,State
0000002719,002719,Child Care,2020-08-10,2020-08-28,2021-12-08,No,114,,State
0000002720,002720,Child Care,2021-11-18,2021-12-09,2022-05-25,No,92,,Federal
0000002720,002720,Home Visiting,2022-01-08,2022-01-23,2023-03-14,Yes,16,,Private
0000002720,002720,Home Visiting,2023-03-28,2023-04-12,2024-02-21,Yes,20,,Federal
0000002721,002721,Early Head Start,2019-09-07,2019-09-13,2021-04-06,No,92,,State
0000002722,002722,First Steps,2019-11-29,2019-12-08,2022-10-05,No,9,Early Intervention,State
0000002722,002722,Child Care,2022-10-09,2022-10-21,2024-03-22,No,153,,Private
0000002723,002723,Home Visiting,2020-11-12,2020-12-02,2021-09-03,Yes,17,,Local
0000002723,002723,Early Intervention,2021-09-27,2021-10-21,2022-09-09,No,25,Early Intervention,Local
0000002724,002724,Home Visiting,2020-01-07,2020-01-11,2021-07-23,Yes,4,,Local
0000002725,002725,First Steps,2021-05-22,2021-06-15,2023-10-06,No,29,Early Intervention,Federal
0000002726,002726,First Steps,2021-06-12,2021-06-19,2023-02-07,No,24,Early Intervention,State
0000002727,002727,Early Head Start,2020-02-28,2020-03-02,2020-12-26,No,109,,Federal
